stateabbr,statedesc,countyname,countyfips,totalpopulation,obesity_crudeprev,lpa_crudeprev,csmoking_crudeprev,depression_crudeprev,bphigh_crudeprev,access2_crudeprev
TX,Texas,Nacogdoches,48347,65375,33.2,29.8,14.9,24.4,35,16.7
TX,Texas,Hockley,48219,21460,36.1,32,14.5,22,35.1,23.2
TX,Texas,Tom Green,48451,119057,36.8,29,12.8,23,34.8,19.3
TX,Texas,Ward,48475,10966,37.6,33.9,14.5,21.3,34.8,26
TX,Texas,Ochiltree,48357,9704,39.2,33.4,14.9,22.1,34.8,26.1
TX,Texas,Brewster,48043,9513,32.8,24.9,9.7,20.1,35,15.8
TX,Texas,Titus,48449,31357,38.6,35.1,16.5,22.5,37.8,24.8
TX,Texas,Jasper,48241,32694,41.1,33.5,18.9,24.5,43.2,15
TX,Texas,Grimes,48185,32384,37.1,30.1,15.7,22.6,38.7,18.5
TX,Texas,Knox,48275,3302,37.8,32.4,15.6,22.6,40.3,19.1
TX,Texas,Archer,48009,9029,34.9,26.5,14.6,23.8,38.1,12.3
TX,Texas,San Saba,48411,5845,35.8,30.9,14.9,21.9,38.2,20.7
TX,Texas,McCulloch,48307,7452,36.4,32.1,15.1,22.7,40.4,19
TX,Texas,Camp,48063,13000,40,33.8,17.2,23.5,40.9,19.8
TX,Texas,Denton,48121,1007703,33.7,21.2,9.8,20.8,29.5,11.2
TX,Texas,Red River,48387,11678,38.5,32.5,17.5,23.7,44.8,14.3
TX,Texas,Foard,48155,1079,40.1,35.6,18,23.8,45.4,18.4
TX,Texas,Comal,48091,193928,35,21.8,10.5,20.3,34.3,12.9
TX,Texas,Sherman,48421,2678,35.4,28.5,12.3,21,34.2,20.9
TX,Texas,Kerr,48265,53915,34.4,28,12.4,21.4,40.3,15.7
TX,Texas,San Jacinto,48407,28936,39,32.4,17.5,23.9,42.7,17.6
TX,Texas,Anderson,48001,57736,39.9,30.6,17.4,22,38.6,19.1
TX,Texas,Llano,48299,22875,35.8,28.1,12.5,21.5,44.8,12.2
TX,Texas,Collingsworth,48087,2563,39.3,32,16.5,23.4,39.9,20.2
TX,Texas,Real,48385,2854,38.1,34.6,16.4,22.7,45.5,18.3
TX,Texas,Morris,48343,12066,39,31.6,16.7,23.4,42.7,14.7
TX,Texas,Stephens,48429,9343,36.3,29.9,15.6,22.8,37.7,18.4
TX,Texas,Walker,48471,81268,39.3,29.7,16.2,22.8,36.2,18.1
TX,Texas,Upshur,48459,43281,37.6,29.6,16.6,24.9,38.8,14.1
TX,Texas,Panola,48365,22838,37.4,28.7,15.6,23.5,39.3,13.9
TX,Texas,Carson,48065,5878,34,24.2,13.1,23.2,36,11.5
TX,Texas,Cooke,48097,43782,36.1,27.7,14.5,23.7,37.4,15.2
TX,Texas,Robertson,48395,17267,37.9,31.5,15.7,22.2,40.8,17.4
TX,Texas,McMullen,48311,568,38.6,35.5,15.9,21.3,42.1,22.3
TX,Texas,Bell,48027,393193,43.2,29.3,13.3,24.7,33.2,16.2
TX,Texas,Irion,48235,1549,35.1,26.7,12.8,22.5,37.7,14.5
TX,Texas,Hardin,48199,58261,34,26.8,15.6,24.8,36.7,12.6
TX,Texas,Houston,48225,22066,38.2,33.7,17.9,22.7,43.4,17.9
TX,Texas,Yoakum,48501,7468,37.6,32.1,12.9,20.9,32.6,27.1
TX,Texas,Leon,48289,16538,36.2,30.5,15.9,23.2,41.6,15.7
TX,Texas,Hidalgo,48215,898471,44.2,37.5,13.3,20.2,33.4,37.4
TX,Texas,Swisher,48437,6955,40.5,36.9,17.6,21.9,39.3,26.5
TX,Texas,Freestone,48161,20441,38.2,30.1,16,22.7,41,16.1
TX,Texas,Gillespie,48171,27733,32.8,25.6,11.1,21,40.3,13.7
TX,Texas,Harris,48201,4835125,37.3,26.8,12.7,19.7,32.8,21.3
TX,Texas,Van Zandt,48467,64000,36,28.7,15.6,24.7,38.8,13.9
TX,Texas,Edwards,48137,1393,38.2,36.4,15,20.1,44.6,25.2
TX,Texas,Bosque,48035,18996,35.9,28.2,14.2,22.9,40,14.7
TX,Texas,Jefferson,48245,251496,41.3,31.9,16.1,21.1,39.8,18.9
TX,Texas,Lamb,48279,12711,40,35.9,15.2,21.4,38.2,27.3
TX,Texas,Calhoun,48057,19696,34.8,31.3,13,20.1,36.8,22
TX,Texas,Polk,48373,54186,39.2,32.4,18.9,24.8,40.7,17.3
TX,Texas,Crosby,48107,4917,40.5,37,15.9,21.6,39.5,27.2
TX,Texas,Wilson,48493,54183,35.3,26.6,12.4,20.9,34.2,17.5
TX,Texas,Sabine,48403,10106,35.5,30.7,16.2,23.1,45.9,12.5
TX,Texas,Wheeler,48483,4804,37.2,30.8,16,23.4,39.8,17.3
TX,Texas,Burleson,48051,19475,35.9,28.7,14.1,22.1,39.3,15.9
TX,Texas,Hall,48191,2818,39.1,34.4,15.6,22.1,42.7,21.3
TX,Texas,Ector,48135,164494,40,31.8,14.2,21.2,30.5,28
TX,Texas,Tyler,48457,20382,38.7,33.1,19.3,24.3,42,17.3
TX,Texas,Hill,48217,38101,36.9,30.4,15.3,23.5,38.8,16.6
TX,Texas,Bastrop,48021,110778,40.2,31.3,14,21.9,35.7,21.6
TX,Texas,Montgomery,48339,711354,31.8,23.5,11.8,21.5,31.9,14.7
TX,Texas,Gray,48179,20916,38.5,31.6,16.4,23.2,37.6,20.1
TX,Texas,Lampasas,48281,23262,35.1,27.8,14.2,23.6,38.5,14.5
TX,Texas,Karnes,48255,15018,38.9,34.1,16,20.4,35.3,28.2
TX,Texas,Hays,48209,280486,34.5,23.1,10.8,21.9,29,16.6
TX,Texas,Matagorda,48321,36359,39.4,33.8,15.3,22,39.6,22.6
TX,Texas,Cochran,48079,2509,42.6,41.7,19.3,22.9,39.8,32.3
TX,Texas,Falls,48145,17286,40,33.8,17.1,23.1,40.9,19.5
TX,Texas,Dawson,48115,12004,39.4,36.5,17.1,21.1,36,29.9
TX,Texas,Collin,48085,1195359,32.3,20,9.3,20,30.4,10.1
TX,Texas,Reagan,48383,3141,39.1,33,13.1,19.6,34.3,27
TX,Texas,Kleberg,48273,30069,37.1,33.9,12.1,21,31.5,27.9
TX,Texas,Dimmit,48127,8257,46.8,49.5,18.9,20.9,42.3,41.1
TX,Texas,Shackelford,48417,3229,33.8,24.1,12.5,23.2,36.8,11.4
TX,Texas,McLennan,48309,268583,34.8,27.9,13.5,23.6,34.3,16.8
TX,Texas,Milam,48331,25951,37.1,31.1,15.3,22.7,40.2,17.6
TX,Texas,Roberts,48393,840,33.7,23.6,12.4,22.8,36.3,11
TX,Texas,Kent,48263,734,32.5,25.2,11.5,21.6,38.9,12
TX,Texas,Throckmorton,48447,1526,35.5,30,14.9,22.9,43.1,13.1
TX,Texas,Colorado,48089,21117,36.2,29.9,13.6,21.1,40,17.7
TX,Texas,Midland,48329,177108,35.9,26.6,12,21.4,30.5,20
TX,Texas,Nolan,48353,14306,40.5,35.8,17.3,23.1,40.3,22.9
TX,Texas,Nueces,48355,352289,39.7,31.8,13.1,20,36.2,24.6
TX,Texas,Brazos,48041,244703,29.4,24.2,11.7,24.2,27.8,15.6
TX,Texas,Fayette,48149,25474,33.9,26.5,12.3,21.3,39.3,14.2
TX,Texas,Lubbock,48303,320940,35.4,27.6,12.6,22.7,30.3,17.6
TX,Texas,Cass,48067,28659,39.3,30.8,17.2,24,42.8,13.5
TX,Texas,Bowie,48037,91687,36.7,29.1,16,23.6,38.9,14.1
TX,Texas,Potter,48375,114647,41.8,34.9,17.3,23,37.6,23.8
TX,Texas,Culberson,48109,2196,40.3,40.8,16.1,19.9,40.2,31.3
TX,Texas,Rockwall,48397,131307,35.1,20.4,10,21.8,30.5,11.3
TX,Texas,San Patricio,48409,70660,41.3,34.6,14.4,20.7,38,24.9
TX,Texas,Delta,48119,5520,37.1,28.3,15.9,24.4,39.1,13.4
